"id","adi","muhtar_adi","nufus"
"1","ACIDORT MAHALLESİ","KERİM KÜÇÜKKAVUN","158"
"2","AĞSAKLI MAHALLESİ","KAMURAN ÖZKAN","419"
"3","AKABE MAHALLESİ","MUSTAFA BULUT","20787"
"4","AKBAŞ MAHALLESİ","MEHMET BÜYÜKLER","101"
"5","AKÇEŞME MAHALLESİ","MAHMUT SAMİ YALÇINKAYA","631"
"6","AKİFPAŞA MAHALLESİ","ÖMER MUMCU","3640"
"7","AKÖRENKIŞLA MAHALLESİ","DAVUT ASLAN","730"
"8","AZİZİYE MAHALLESİ","MEHMET ALİ UZUN","2679"
"9","BAKIRTOLU MAHALLESİ","FEHMİ AYÇİÇEK","215"
"10","BAŞAK MAHALLESİ","ASKER ÇETİN","3475"
"11","BAŞGÖTÜREN MAHALLESİ","MEHMET KARA","165"
"12","BEŞAĞIL MAHALLESİ","DURSUN KARAKAYA","642"
"13","BÜYÜKBURNAK MAHALLESİ","LÜTFİ BESTİL","261"
"14","BÜYÜKSİNAN MAHALLESİ","AHMET KÜÇÜKHARMANCI","8755"
"15","ÇATALHÜYÜK MAHALLESİ","ADEM KURTULAN","13698"
"16","ÇATALTÖMEK MAHALLESİ","HÜSEYİN KULEKAYA","4327"
"17","ÇELEBİ MAHALLESİ","MURAT DİŞCİ","4113"
"18","ÇENGİLTİ MAHALLESİ","HÜSEYİN AVCI","236"
"19","ÇİMENLİK MAHALLESİ","MEHMET ÇETİN","1618"
"20","DİVANLAR MAHALLESİ","HACI ALİ EKEN","271"
"21","DOĞUŞ MAHALLESİ","ADEM SOYDAN","11355"
"22","ELMACI MAHALLESİ","ALİ YİĞİT","2956"
"23","EMİRGAZİ MAHALLESİ","ABDURRAHMAN ÖZKURT","4048"
"24","ERENLER MAHALLESİ","YUNUS AKBAY","9493"
"25","ERLER MAHALLESİ","AYKURT KARABULUT","7608"
"26","ESENTEPE MAHALLESİ","MUSTAFA URGAN","179"
"27","FETİH MAHALLESİ","MUAMMER ULUKAN","16419"
"28","FEVZİÇAKMAK MAHALLESİ","CELALETTİN SARIKAYA","8567"
"29","GAZİOSMANPAŞA MAHALLESİ","MEHMET ÇETİN","9440"
"30","GÖÇÜ MAHALLESİ","HASAN KÜÇÜKSARIOĞLAN","896"
